ID,Nombre Original,Ruta Original,Carpeta,Contexto de Extracción,Nombre Nuevo,Estatus,Clave de Rastreo,Hash Archivo
1,Comprobante PDF (10).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (10).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 84017 Banco Participante:   Cta. Ordenante del Pago:   C,84017.pdf,Éxito,,ef627213194d0f9a815a3e6fb1d88179507e074f6fbb51532bb57a1e308a08a7
2,Comprobante PDF (11).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (11).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 84189 Banco Participante:   Cta. Ordenante del Pago:   C,84189.pdf,Éxito,,521fb830f199c525de05e590e68fd151ac1589090bda3a816b816cbd6b52a8d7
3,Comprobante PDF (12).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (12).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85718 Banco Participante:   Cta. Ordenante del Pago:   C,85718.pdf,Éxito,,945c4f1f700dd5407affebc596f8bd6d97e8d57a153bb53765803b683a551994
4,Comprobante PDF (13).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (13).pdf,100426 AGUILA,ica del Emisor:   Concepto:  ASISTENCIA EL AGUILA OP 85733 Banco Participante:   Cta. Ordenante del Pago:   C,85733.pdf,Éxito,,e6b10e1b5c4a74cd1c4de83ec96d0e6d6943b2db74103d98c1b908a2df4b88e6
5,Comprobante PDF (14).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (14).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85830 Banco Participante:   Cta. Ordenante del Pago:   C,85830.pdf,Éxito,,2d22c55a099df179ec0371f74d12cf54a06deab8bfaef10daf7da6c6a2b599fe
6,Comprobante PDF (15).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (15).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85860 Banco Participante:   Cta. Ordenante del Pago:   C,85860.pdf,Éxito,,222a6f9dcaf5f222c83552865205ff4eba4d9f8e8586befb3a78bbb92b229c3d
7,Comprobante PDF (16).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (16).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85926 Banco Participante:   Cta. Ordenante del Pago:   C,85926.pdf,Éxito,,e76cdedfa66c43cec7cb2b161ec15700a8307949b27173cc3ac477259649ecde
8,Comprobante PDF (17).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (17).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85928 Banco Participante:   Cta. Ordenante del Pago:   C,85928.pdf,Éxito,,d537ddb5a19e3c15f2f39582dc8ffd6df4a80c9e811c17963accebb5d33f5ecf
9,Comprobante PDF (18).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (18).pdf,100426 AGUILA,rica del Emisor:   Concepto:  TRASLADOS EL AGUILA OP 85929 Banco Participante:   Cta. Ordenante del Pago:   C,85929.pdf,Éxito,,8007537eb539bbc75af030fceeb1d59b2b2d41b0460375f017c39c613586092f
10,Comprobante PDF (19).pdf,C:\Users\luis.fernandez\OneDrive - ESCOTEL ESPECIALISTAS EN CONTACTO TELEFONICO S.A. DE C.V\Archivos de Andrea José Ramírez - Desarrollo comprobantes 2\04 ABRIL\100426 AGUILA\Comprobante PDF (19).pdf,100426 AGUILA,ica del Emisor:   Concepto:  ASISTENCIA EL AGUILA OP 85937 Banco Participante:   Cta. Ordenante del Pago:   C,85937.pdf,Éxito,,0012651ed72dbeb59f42c791ee242cd393baeb42a869892d489031b26dbfcd33
